trial,value,params
173,9.174156741566932,"{'alpha': 0.011362433616109122, 'l1_ratio': 0.8556364638516659}"
174,9.180925132556842,"{'alpha': 0.010002907439542363, 'l1_ratio': 0.48885640359923255}"
175,9.173788164276525,"{'alpha': 0.010114326244995612, 'l1_ratio': 0.8547067488289624}"
176,9.174120774369404,"{'alpha': 0.011307738560969548, 'l1_ratio': 0.8566770644409324}"
177,9.174174702120116,"{'alpha': 0.011220899382422638, 'l1_ratio': 0.8522214164366689}"
178,9.173902689555097,"{'alpha': 0.011525839443175749, 'l1_ratio': 0.8722180489480228}"
179,9.173909212048345,"{'alpha': 0.011606735063874567, 'l1_ratio': 0.8731024735166663}"
180,11.363597031286783,"{'alpha': 2.185249522952945, 'l1_ratio': 0.8728018070604942}"
181,9.173915821933065,"{'alpha': 0.011797650906520107, 'l1_ratio': 0.8756331842340168}"
182,9.173903427626126,"{'alpha': 0.011849726218638388, 'l1_ratio': 0.8770574773992763}"
183,9.173700061417303,"{'alpha': 0.012631464796401924, 'l1_ratio': 0.8983943614370835}"
184,9.173242676187177,"{'alpha': 0.010016570318606605, 'l1_ratio': 0.89037983629299}"
185,9.173760752762927,"{'alpha': 0.012980102693412602, 'l1_ratio': 0.8994101236809481}"
186,9.17317236859409,"{'alpha': 0.010271861352848664, 'l1_ratio': 0.8995266377316644}"
187,9.173437840525256,"{'alpha': 0.010607285573345082, 'l1_ratio': 0.8860607403337133}"
188,9.173306527998566,"{'alpha': 0.010169504104801082, 'l1_ratio': 0.8882238458436609}"
189,9.17330506730725,"{'alpha': 0.010050222349874162, 'l1_ratio': 0.8863910843311567}"
190,9.257436236583272,"{'alpha': 0.16267428373009746, 'l1_ratio': 0.8855857512934}"
191,9.174605048368026,"{'alpha': 0.015096920561670654, 'l1_ratio': 0.886567959119633}"
192,9.174574114525026,"{'alpha': 0.015000393958711467, 'l1_ratio': 0.8867035520773243}"
193,9.174562493227949,"{'alpha': 0.015283500329391991, 'l1_ratio': 0.8902653249816638}"
194,9.174332119521623,"{'alpha': 0.015295331426527703, 'l1_ratio': 0.8993172334957604}"
