trial,value,params
172,8.892123391134406,"{'alpha': 6.054624752914937, 'fit_intercept': True, 'solver': 'sag'}"
173,8.892123391134406,"{'alpha': 7.382291811127889, 'fit_intercept': True, 'solver': 'sag'}"
174,8.892123391134406,"{'alpha': 5.738901388819573, 'fit_intercept': True, 'solver': 'sag'}"
175,8.89311765496547,"{'alpha': 6.440000948736946, 'fit_intercept': True, 'solver': 'lsqr'}"
176,8.892123391134406,"{'alpha': 0.0017810982859756902, 'fit_intercept': True, 'solver': 'sag'}"
177,8.892167109994514,"{'alpha': 45.31821882314434, 'fit_intercept': True, 'solver': 'auto'}"
178,8.892123391134406,"{'alpha': 10.212867978681226, 'fit_intercept': True, 'solver': 'sag'}"
179,8.892123391134406,"{'alpha': 9.924484270006849, 'fit_intercept': True, 'solver': 'sag'}"
180,8.892123391134406,"{'alpha': 196.17651186027175, 'fit_intercept': True, 'solver': 'sag'}"
181,8.892123391134406,"{'alpha': 9.98348927570639, 'fit_intercept': True, 'solver': 'sag'}"
182,8.892123391134406,"{'alpha': 158.9011572847827, 'fit_intercept': True, 'solver': 'sag'}"
183,8.892123391134406,"{'alpha': 9.883730933834446, 'fit_intercept': True, 'solver': 'sag'}"
184,8.893116512703276,"{'alpha': 9.804184605997678, 'fit_intercept': True, 'solver': 'sparse_cg'}"
185,8.892123391134406,"{'alpha': 183.94420527226816, 'fit_intercept': True, 'solver': 'sag'}"
186,8.892123391134406,"{'alpha': 45.551304000902796, 'fit_intercept': True, 'solver': 'sag'}"
187,8.892123391134406,"{'alpha': 167.30393857391755, 'fit_intercept': True, 'solver': 'sag'}"
188,8.892123391134406,"{'alpha': 218.6683142490609, 'fit_intercept': True, 'solver': 'sag'}"
189,8.892123391134406,"{'alpha': 224.61968648036867, 'fit_intercept': True, 'solver': 'sag'}"
190,8.892123391134406,"{'alpha': 406.42483967565124, 'fit_intercept': True, 'solver': 'sag'}"
191,8.892123391134406,"{'alpha': 59.46901235660313, 'fit_intercept': True, 'solver': 'sag'}"
192,8.892123391134406,"{'alpha': 65.09910299404973, 'fit_intercept': True, 'solver': 'sag'}"
193,8.892123391134406,"{'alpha': 58.698767720732675, 'fit_intercept': True, 'solver': 'sag'}"
194,8.892123391134406,"{'alpha': 417.047060750415, 'fit_intercept': True, 'solver': 'sag'}"
195,8.892123391134406,"{'alpha': 542.0716784035583, 'fit_intercept': True, 'solver': 'sag'}"
196,8.892128670721235,"{'alpha': 55.92229461981881, 'fit_intercept': True, 'solver': 'saga'}"
197,8.892123391134406,"{'alpha': 0.6268627590686674, 'fit_intercept': True, 'solver': 'sag'}"
198,8.892123391134406,"{'alpha': 15.077271799417886, 'fit_intercept': True, 'solver': 'sag'}"
199,8.892123391134406,"{'alpha': 56.820171369400576, 'fit_intercept': True, 'solver': 'sag'}"
